id;airline_name;incidents;last_incident_dt;fleet_age;fleet_size;rate_incidents;fatalities;profitability;IOSA_certification;ICAO_country_audit_pass;pilot_training;low_cost
1;Air New Zealand;8;2008-11-27;10,4;112;0;268;0,104;1;1;Air New Zealand invests heavily in pilot training and development, contributing to its reputation as one of the safest airlines in the world.;NULL
2;Qantas;23;2017-10-14;15;126;0,05;41;8,5;1;1;The airline operates its own Qantas Group Pilot Academy, which provides world-class training for its pilots.;NULL
3;Cathay Pacific;10;2018-08-15;8,4;151;0,004;140;2,2;1;1;Cathay Pacific offers pilot training through its own Cathay Pacific Flight Training Centre (CPFTC).;NULL
4;Qatar Airways;5;2017-12-08;6;210;0,003;0;1,4;1;1;"Qatar Airways offers a Cadet Pilot Training Program to develop future airline pilots. ";NULL
5;Emirates;3;2019-08-23;6;270;0,002;1;1,1;1;1;Emirates offers pilot training through the Emirates Flight Training Academy (EFTA) for experienced and cadet pilots.;NULL
6;Virgin Australia;4;2017-11-19;7;37;0,004;0;-0,049;1;1;Virgin Australia does not offer pilot training, but it does provide professional development for its pilots.;NULL
7;Etihad Airways;0;NULL;7,5;103;0,003;0;-1,7;1;1;Etihad Airways offers pilot training through its Etihad Aviation Training (EAT) facility in Abu Dhabi.;NULL
8;ANA;31;2012-06-20;6,2;251;0,001;389;0,85;1;1;All Nippon Airways (ANA) does not offer pilot training directly, but it does partner with flight schools to train its pilots.;NULL
9;EVA Air;4;2017-12-02;7,5;92;0,001;0;0,38;1;1;EVA Air offers pilot training through its subsidiary, the EVA Flight Training Academy (EVA FTA).;NULL
10;Korean Air;17;2022-10-23;10,3;159;0,015;434;0,52;1;1;Korean Air partners with the Flight Education Center at Korea Aerospace University to train pilots.;NULL
11;Alaska Airlines;18;2018-08-10;9,5;330;0,007;228;0,7;1;1;Alaska focuses on recruiting and training pilots with no experience.;NULL
12;Turkish Airlines;21;2021-12-30;9,4;374;0,006;148;1,5;1;1;Turkish Airlines has a flight academy that trains pilots for the airline: The Turkish Airlines Aviation Academy (TAAA).;NULL
13;TAP Portugal;10;2022-09-02;13,2;80;0,01;136;0,065;1;1;TAP Air Portugal has a pilot training center at the Cascais Municipal Aerodrome.;NULL
14;Hawaiian Airlines;5;2021-09-23;11,5;71;0,005;0;0,079;1;1;Hawaiian Airlines has a pilot training program at its flight school in New Smyrna Beach, Florida.;NULL
15;American Airlines;115;2021-05-28;11;977;0,004;3164;2,89;1;1;American Airlines offers pilot training through its American Airlines Cadet Academy.;NULL
16;SAS;34;2016-12-26;8,6;84;0,01;411;-2,7;1;1;SAS Scandinavian Airlines has a pilot training program. SAS partners with other organizations to provide training for its pilots.;NULL
17;British Airways;28;2021-06-18;12,9;280;0,004;65;1,5;1;1;British Airways offers pilot training through its Speedbird Pilot Academy.;NULL
18;Iberia;46;2008-07-31;9,6;135;0,003;600;0,456;1;1;Iberia offers a pilot training program called Iberia Cadetes.;NULL
19;Finnair;4;2022-02-07;11,2;84;0,002;0;0,342;1;1;Finnair Flight Academy offers pilot training courses for qualified pilots.;NULL
20;Lufthansa;30;2019-07-30;9,6;331;0,003;154;0,53;1;1;Lufthansa offers pilot training through the European Flight Academy (EFA).;NULL
21;Swiss;3;2015-01-20;9,4;95;0,003;0;1,2;1;1;"Swiss offers pilot training through the European Flight Academy (EFA). ";NULL
22;JAL;33;2012-03-31;11,2;167;0,002;775;0,98;1;1;Japan Airlines (JAL) offers pilot training at its training center in Haneda Airport, Tokyo.;NULL
23;Air Canada;28;2021-12-25;14,3;195;0,003;139;1,06;1;1;Air Canada does not offer pilot training, but it does have a pilot induction training (PIT) course for new hires.;NULL
24;Delta Airlines;82;2022-08-06;14,7;914;0,001;351;1,32;1;1;Delta Air Lines offers pilot training through the Propel Flight Academy.;NULL
25;Vietnam Airlines;6;2000-09-19;7,3;100;0,002;95;0,2;1;1;Vietnam Airlines offers pilot training through its Cadet Pilot Program at the 43 Air School.;NULL
26;United Airlines;99;2021-09-27;16,5;915;0,001;2071;2;1;1;United Airlines operates its United Aviate Academy, which trains aspiring pilots and provides pathways to becoming part of the United Airlines team.;NULL
27;Hong Kong Express;0;NULL;6,1;27;0;0;0,03;1;1;HK Express has a pilot training program in partnership with the Hong Kong International Aviation Academy (HKIAA).;1
28;Jetstar Group;1;2013-08-10;7;58;0,0005;0;0,05;1;1;Jetstar Airways has a pilot training program called the Jetstar Cadet Pilot Program.;1
29;Ryanair;13;2019-04-30;6;450;0,0003;0;1;1;1;Ryanair has a pilot training program called the Future Flyer Academy.;1
30;easyJet;5;2019-04-03;7;300;0,0005;0;3;1;1;easyJet offers a pilot training program called Generation easyJet.;1
31;Frontier Airlines;3;2021-12-12;4,5;125;0,0012;0;0,09;1;1;Frontier Airlines offers pilot training programs, including the Frontier Airlines Pilot Cadet Program.;1
32;AirAsia;1;2011-01-10;9,2;210;0,0021;0;0,19;1;1;AirAsia offers a cadet pilot program. The program is designed to train aspiring pilots to become Multi-Crew Pilot License (MPL) holders and Second Officers for the airline.;1
33;Wizz Air;2;2019-03-23;5,5;170;0,0019;0;0,2;1;1;Wizz Air offers a pilot training program called the Wizz Air Pilot Academy (WAPA).;1
34;VietJet Air;0;NULL;4;70;0,0014;0;0,11;1;1;VietJet Air offers pilot training through its own training programs, including cooperation with various international training organizations.;1
35;Southwest Airlines;24;2019-12-21;13,5;760;0,0009;2;2,1;1;1;Southwest Airlines offers pilot training programs through the Destination 225° program.;1
36;Volaris;0;NULL;7;100;0,0021;0;0,2;1;1;Volaris has partnered with Airbus to manage the training programs and ensure they meet all regulatory requirements.;1
37;flydubai;2;2016-03-19;5,3;65;0,0007;62;0,04;1;1;The Dubai-based airline has a training center and a full-flight simulator facility.;1
38;Norwegian;2;2012-03-29;5;160;0,0001;0;-0,17;1;1;Norwegian Air has a training program for its pilots, which includes both in-house training and partnerships with flight schools.;1
39;Vueling;1;2016-05-28;9,2;100;0,0001;0;0,06;1;1;Vueling Airlines offers pilot training through its Cadet Pilot Programme and Mentored Airline Pilot Scheme (MAPS).;1
40;Jet2;3;2019-04-30;15,4;117;0;0;0,05;1;1;"Jet2 offers pilot training programs, including a Pilot Apprentice program and direct entry positions. ";1
