id;airline_name;recent_incident_flag;fatalities_per_aircraft;fleet_age;fleet_size;rate_incidents;profitability;pilot_training;safety_score;low_cost
2;Qantas;0;0;15;126;0,05;8,5;The airline operates its own Qantas Group Pilot Academy, which provides world-class training for its pilots.;-0,2;No
4;Qatar Airways;0;0;6;210;0,003;1,4;"Qatar Airways offers a Cadet Pilot Training Program to develop future airline pilots. ";0,32;No
5;Emirates;0;0;6;270;0,002;1,1;Emirates offers pilot training through the Emirates Flight Training Academy (EFTA) for experienced and cadet pilots.;0,38;No
3;Cathay Pacific;0;0;8,4;151;0,004;2,2;Cathay Pacific offers pilot training through its own Cathay Pacific Flight Training Centre (CPFTC).;0,4;No
12;Turkish Airlines;0;0;9,4;374;0,006;1,5;Turkish Airlines has a flight academy that trains pilots for the airline: The Turkish Airlines Aviation Academy (TAAA).;0,64;No
9;EVA Air;0;0;7,5;92;0,001;0,38;EVA Air offers pilot training through its subsidiary, the EVA Flight Training Academy (EVA FTA).;0,674;No
25;Vietnam Airlines;0;0;7,3;100;0,002;0,2;Vietnam Airlines offers pilot training through its Cadet Pilot Program at the 43 Air School.;0,69;No
21;Swiss;0;0;9,4;95;0,003;1,2;"Swiss offers pilot training through the European Flight Academy (EFA). ";0,7;No
8;ANA;0;1;6,2;251;0,001;0,85;All Nippon Airways (ANA) does not offer pilot training directly, but it does partner with flight schools to train its pilots.;0,75;No
11;Alaska Airlines;0;0;9,5;330;0,007;0,7;Alaska focuses on recruiting and training pilots with no experience.;0,81;No
20;Lufthansa;0;0;9,6;331;0,003;0,53;Lufthansa offers pilot training through the European Flight Academy (EFA).;0,854;No
17;British Airways;0;0;12,9;280;0,004;1,5;British Airways offers pilot training through its Speedbird Pilot Academy.;0,99;No
19;Finnair;0;0;11,2;84;0,002;0,342;Finnair Flight Academy offers pilot training courses for qualified pilots.;1,0516;No
14;Hawaiian Airlines;0;0;11,5;71;0,005;0,079;Hawaiian Airlines has a pilot training program at its flight school in New Smyrna Beach, Florida.;1,1342;No
24;Delta Airlines;0;0;14,7;914;0,001;1,32;Delta Air Lines offers pilot training through the Propel Flight Academy.;1,206;No
23;Air Canada;0;0;14,3;195;0,003;1,06;Air Canada does not offer pilot training, but it does have a pilot induction training (PIT) course for new hires.;1,218;No
15;American Airlines;0;3;11;977;0,004;2,89;American Airlines offers pilot training through its American Airlines Cadet Academy.;1,422;No
